[2023-12-24T20:00:58.143Z] [INFO] Method: GET | URL: /api/products | Request Body: 
[2023-12-24T20:00:58.159Z] [INFO] Method: GET | URL: /api/products/1 | Request Body: 
[2023-12-24T20:00:58.166Z] [INFO] Method: GET | URL: /api/products/1 | Request Body: 
[2023-12-24T20:00:58.183Z] [INFO] Method: GET | URL: /api/products/999 | Request Body: 
[2023-12-24T20:00:58.185Z] [INFO] Method: GET | URL: /api/products/999 | Request Body: 
[2023-12-24T20:01:46.733Z] [INFO] Method: POST | URL: /api/products | Request Body: undefined
[2023-12-24T20:01:46.767Z] [INFO] Method: POST | URL: /api/products | Request Body: undefined
[2023-12-24T20:01:46.877Z] [INFO] Method: GET | URL: /api/products | Request Body: 
[2023-12-24T20:01:46.878Z] [INFO] Method: GET | URL: /api/products | Request Body: 
[2023-12-24T20:01:46.910Z] [INFO] Method: GET | URL: /api/products/1 | Request Body: 
[2023-12-24T20:01:46.912Z] [INFO] Method: GET | URL: /api/products/1 | Request Body: 
[2023-12-24T20:01:46.927Z] [INFO] Method: GET | URL: /api/products/999 | Request Body: 
[2023-12-24T20:01:46.931Z] [INFO] Method: GET | URL: /api/products/999 | Request Body: 
[2023-12-24T20:02:15.270Z] [INFO] Method: POST | URL: /api/products | Request Body: undefined
[2023-12-24T20:02:15.305Z] [INFO] Method: POST | URL: /api/products | Request Body: undefined
[2023-12-24T20:02:15.427Z] [INFO] Method: GET | URL: /api/products | Request Body: 
[2023-12-24T20:02:15.428Z] [INFO] Method: GET | URL: /api/products | Request Body: 
[2023-12-24T20:02:15.444Z] [INFO] Method: GET | URL: /api/products/1 | Request Body: 
[2023-12-24T20:02:15.445Z] [INFO] Method: GET | URL: /api/products/1 | Request Body: 
[2023-12-24T20:02:15.460Z] [INFO] Method: GET | URL: /api/products/999 | Request Body: 
[2023-12-24T20:02:15.461Z] [INFO] Method: GET | URL: /api/products/999 | Request Body: 
[2023-12-24T20:08:56.986Z] [INFO] Method: POST | URL: /api/products | Request Body: undefined
[2023-12-24T20:08:57.021Z] [INFO] Method: POST | URL: /api/products | Request Body: undefined
[2023-12-24T20:08:57.124Z] [INFO] Method: GET | URL: /api/products | Request Body: 
[2023-12-24T20:08:57.126Z] [INFO] Method: GET | URL: /api/products | Request Body: 
[2023-12-24T20:08:57.154Z] [INFO] Method: POST | URL: /api/products | Request Body: undefined
[2023-12-24T20:08:57.155Z] [INFO] Method: POST | URL: /api/products | Request Body: undefined
[2023-12-24T20:08:57.180Z] [INFO] Method: GET | URL: /api/products | Request Body: 
[2023-12-24T20:08:57.188Z] [INFO] Method: GET | URL: /api/products | Request Body: 
[2023-12-24T20:08:57.208Z] [INFO] Method: POST | URL: /api/products | Request Body: undefined
[2023-12-24T20:08:57.209Z] [INFO] Method: POST | URL: /api/products | Request Body: undefined
[2023-12-24T20:08:57.240Z] [INFO] Method: GET | URL: /api/products | Request Body: 
[2023-12-24T20:08:57.241Z] [INFO] Method: GET | URL: /api/products | Request Body: 
[2023-12-24T20:08:57.261Z] [INFO] Method: POST | URL: /api/products | Request Body: undefined
[2023-12-24T20:08:57.261Z] [INFO] Method: POST | URL: /api/products | Request Body: undefined
[2023-12-24T20:08:57.292Z] [INFO] Method: GET | URL: /api/products | Request Body: 
[2023-12-24T20:08:57.293Z] [INFO] Method: GET | URL: /api/products | Request Body: 
[2023-12-24T20:08:57.313Z] [INFO] Method: POST | URL: /api/products | Request Body: undefined
[2023-12-24T20:08:57.312Z] [INFO] Method: POST | URL: /api/products | Request Body: undefined
[2023-12-24T20:08:57.343Z] [INFO] Method: GET | URL: /api/products | Request Body: 
[2023-12-24T20:08:57.345Z] [INFO] Method: GET | URL: /api/products | Request Body: 
[2023-12-24T20:08:57.364Z] [INFO] Method: POST | URL: /api/products | Request Body: undefined
[2023-12-24T20:08:57.363Z] [INFO] Method: POST | URL: /api/products | Request Body: undefined
[2023-12-24T20:08:57.394Z] [INFO] Method: GET | URL: /api/products | Request Body: 
[2023-12-24T20:08:57.395Z] [INFO] Method: GET | URL: /api/products | Request Body: 
[2023-12-24T20:08:57.412Z] [INFO] Method: POST | URL: /api/products | Request Body: undefined
[2023-12-24T20:08:57.413Z] [INFO] Method: POST | URL: /api/products | Request Body: undefined
[2023-12-24T20:08:57.443Z] [INFO] Method: GET | URL: /api/products | Request Body: 
[2023-12-24T20:08:57.444Z] [INFO] Method: GET | URL: /api/products | Request Body: 
[2023-12-24T20:08:57.461Z] [INFO] Method: POST | URL: /api/products | Request Body: undefined
[2023-12-24T20:08:57.461Z] [INFO] Method: POST | URL: /api/products | Request Body: undefined
[2023-12-24T20:08:57.490Z] [INFO] Method: GET | URL: /api/products | Request Body: 
[2023-12-24T20:08:57.492Z] [INFO] Method: GET | URL: /api/products | Request Body: 
[2023-12-24T20:08:57.509Z] [INFO] Method: POST | URL: /api/products | Request Body: undefined
[2023-12-24T20:08:57.509Z] [INFO] Method: POST | URL: /api/products | Request Body: undefined
[2023-12-24T20:08:57.538Z] [INFO] Method: GET | URL: /api/products | Request Body: 
[2023-12-24T20:08:57.539Z] [INFO] Method: GET | URL: /api/products | Request Body: 
[2023-12-24T20:08:57.558Z] [INFO] Method: POST | URL: /api/products | Request Body: undefined
[2023-12-24T20:08:57.558Z] [INFO] Method: POST | URL: /api/products | Request Body: undefined
[2023-12-24T20:08:57.589Z] [INFO] Method: GET | URL: /api/products | Request Body: 
[2023-12-24T20:08:57.591Z] [INFO] Method: GET | URL: /api/products | Request Body: 
[2023-12-24T20:08:57.610Z] [INFO] Method: GET | URL: /api/products/1 | Request Body: 
[2023-12-24T20:08:57.612Z] [INFO] Method: GET | URL: /api/products/1 | Request Body: 
[2023-12-24T20:08:57.631Z] [INFO] Method: GET | URL: /api/products/999 | Request Body: 
[2023-12-24T20:08:57.638Z] [INFO] Method: GET | URL: /api/products/999 | Request Body: 
[2023-12-24T20:10:10.051Z] [INFO] Method: POST | URL: /api/products | Request Body: undefined
[2023-12-24T20:10:10.083Z] [INFO] Method: POST | URL: /api/products | Request Body: undefined
[2023-12-24T20:10:10.178Z] [INFO] Method: POST | URL: /api/products | Request Body: undefined
[2023-12-24T20:10:10.177Z] [INFO] Method: POST | URL: /api/products | Request Body: undefined
[2023-12-24T20:10:10.204Z] [INFO] Method: POST | URL: /api/products | Request Body: undefined
[2023-12-24T20:10:10.207Z] [INFO] Method: POST | URL: /api/products | Request Body: undefined
[2023-12-24T20:10:10.232Z] [INFO] Method: POST | URL: /api/products | Request Body: undefined
[2023-12-24T20:10:10.233Z] [INFO] Method: POST | URL: /api/products | Request Body: undefined
[2023-12-24T20:10:10.267Z] [INFO] Method: POST | URL: /api/products | Request Body: undefined
[2023-12-24T20:10:10.267Z] [INFO] Method: POST | URL: /api/products | Request Body: undefined
[2023-12-24T20:10:10.297Z] [INFO] Method: POST | URL: /api/products | Request Body: undefined
[2023-12-24T20:10:10.298Z] [INFO] Method: POST | URL: /api/products | Request Body: undefined
[2023-12-24T20:10:10.318Z] [INFO] Method: POST | URL: /api/products | Request Body: undefined
[2023-12-24T20:10:10.318Z] [INFO] Method: POST | URL: /api/products | Request Body: undefined
[2023-12-24T20:10:10.345Z] [INFO] Method: POST | URL: /api/products | Request Body: undefined
[2023-12-24T20:10:10.345Z] [INFO] Method: POST | URL: /api/products | Request Body: undefined
[2023-12-24T20:10:10.366Z] [INFO] Method: POST | URL: /api/products | Request Body: undefined
[2023-12-24T20:10:10.366Z] [INFO] Method: POST | URL: /api/products | Request Body: undefined
[2023-12-24T20:10:10.394Z] [INFO] Method: POST | URL: /api/products | Request Body: undefined
[2023-12-24T20:10:10.395Z] [INFO] Method: POST | URL: /api/products | Request Body: undefined
[2023-12-24T20:10:10.417Z] [INFO] Method: GET | URL: /api/products | Request Body: 
[2023-12-24T20:10:10.418Z] [INFO] Method: GET | URL: /api/products | Request Body: 
[2023-12-24T20:10:10.445Z] [INFO] Method: GET | URL: /api/products/1 | Request Body: 
[2023-12-24T20:10:10.446Z] [INFO] Method: GET | URL: /api/products/1 | Request Body: 
[2023-12-24T20:10:10.462Z] [INFO] Method: GET | URL: /api/products/999 | Request Body: 
[2023-12-24T20:10:10.463Z] [INFO] Method: GET | URL: /api/products/999 | Request Body: 
[2023-12-24T20:10:47.750Z] [INFO] Method: POST | URL: /api/products | Request Body: undefined
[2023-12-24T20:10:47.777Z] [INFO] Method: POST | URL: /api/products | Request Body: undefined
[2023-12-24T20:10:47.889Z] [INFO] Method: POST | URL: /api/products | Request Body: undefined
[2023-12-24T20:10:47.888Z] [INFO] Method: POST | URL: /api/products | Request Body: undefined
[2023-12-24T20:10:47.919Z] [INFO] Method: POST | URL: /api/products | Request Body: undefined
[2023-12-24T20:10:47.920Z] [INFO] Method: POST | URL: /api/products | Request Body: undefined
[2023-12-24T20:10:47.943Z] [INFO] Method: POST | URL: /api/products | Request Body: undefined
[2023-12-24T20:10:47.944Z] [INFO] Method: POST | URL: /api/products | Request Body: undefined
[2023-12-24T20:10:47.989Z] [INFO] Method: POST | URL: /api/products | Request Body: undefined
[2023-12-24T20:10:47.989Z] [INFO] Method: POST | URL: /api/products | Request Body: undefined
[2023-12-24T20:10:48.014Z] [INFO] Method: POST | URL: /api/products | Request Body: undefined
[2023-12-24T20:10:48.014Z] [INFO] Method: POST | URL: /api/products | Request Body: undefined
[2023-12-24T20:10:48.042Z] [INFO] Method: POST | URL: /api/products | Request Body: undefined
[2023-12-24T20:10:48.043Z] [INFO] Method: POST | URL: /api/products | Request Body: undefined
[2023-12-24T20:10:48.063Z] [INFO] Method: POST | URL: /api/products | Request Body: undefined
[2023-12-24T20:10:48.064Z] [INFO] Method: POST | URL: /api/products | Request Body: undefined
[2023-12-24T20:10:48.094Z] [INFO] Method: POST | URL: /api/products | Request Body: undefined
[2023-12-24T20:10:48.095Z] [INFO] Method: POST | URL: /api/products | Request Body: undefined
[2023-12-24T20:10:48.122Z] [INFO] Method: POST | URL: /api/products | Request Body: undefined
[2023-12-24T20:10:48.123Z] [INFO] Method: POST | URL: /api/products | Request Body: undefined
[2023-12-24T20:10:48.145Z] [INFO] Method: GET | URL: /api/products | Request Body: 
[2023-12-24T20:10:48.146Z] [INFO] Method: GET | URL: /api/products | Request Body: 
[2023-12-24T20:10:48.174Z] [INFO] Method: GET | URL: /api/products/1 | Request Body: 
[2023-12-24T20:10:48.176Z] [INFO] Method: GET | URL: /api/products/1 | Request Body: 
[2023-12-24T20:10:48.192Z] [INFO] Method: GET | URL: /api/products/999 | Request Body: 
[2023-12-24T20:10:48.194Z] [INFO] Method: GET | URL: /api/products/999 | Request Body: 
[2023-12-24T20:11:46.576Z] [INFO] Method: POST | URL: /api/products | Request Body: undefined
[2023-12-24T20:11:46.612Z] [INFO] Method: POST | URL: /api/products | Request Body: undefined
[2023-12-24T20:11:46.705Z] [INFO] Method: POST | URL: /api/products | Request Body: undefined
[2023-12-24T20:11:46.706Z] [INFO] Method: POST | URL: /api/products | Request Body: undefined
[2023-12-24T20:11:46.735Z] [INFO] Method: POST | URL: /api/products | Request Body: undefined
[2023-12-24T20:11:46.734Z] [INFO] Method: POST | URL: /api/products | Request Body: undefined
[2023-12-24T20:11:46.763Z] [INFO] Method: POST | URL: /api/products | Request Body: undefined
[2023-12-24T20:11:46.763Z] [INFO] Method: POST | URL: /api/products | Request Body: undefined
[2023-12-24T20:11:46.786Z] [INFO] Method: POST | URL: /api/products | Request Body: undefined
[2023-12-24T20:11:46.786Z] [INFO] Method: POST | URL: /api/products | Request Body: undefined
[2023-12-24T20:11:46.814Z] [INFO] Method: POST | URL: /api/products | Request Body: undefined
[2023-12-24T20:11:46.815Z] [INFO] Method: POST | URL: /api/products | Request Body: undefined
[2023-12-24T20:11:46.836Z] [INFO] Method: POST | URL: /api/products | Request Body: undefined
[2023-12-24T20:11:46.836Z] [INFO] Method: POST | URL: /api/products | Request Body: undefined
[2023-12-24T20:11:46.862Z] [INFO] Method: POST | URL: /api/products | Request Body: undefined
[2023-12-24T20:11:46.863Z] [INFO] Method: POST | URL: /api/products | Request Body: undefined
[2023-12-24T20:11:46.884Z] [INFO] Method: POST | URL: /api/products | Request Body: undefined
[2023-12-24T20:11:46.885Z] [INFO] Method: POST | URL: /api/products | Request Body: undefined
[2023-12-24T20:11:46.907Z] [INFO] Method: POST | URL: /api/products | Request Body: undefined
[2023-12-24T20:11:46.905Z] [INFO] Method: POST | URL: /api/products | Request Body: undefined
[2023-12-24T20:11:46.935Z] [INFO] Method: GET | URL: /api/products | Request Body: 
[2023-12-24T20:11:46.936Z] [INFO] Method: GET | URL: /api/products | Request Body: 
[2023-12-24T20:11:46.965Z] [INFO] Method: GET | URL: /api/products/1 | Request Body: 
[2023-12-24T20:11:46.967Z] [INFO] Method: GET | URL: /api/products/1 | Request Body: 
[2023-12-24T20:11:46.999Z] [INFO] Method: GET | URL: /api/products/999 | Request Body: 
[2023-12-24T20:11:47.000Z] [INFO] Method: GET | URL: /api/products/999 | Request Body: 
[2023-12-24T20:27:32.177Z] [INFO] Method: POST | URL: /api/products | Request Body: undefined
[2023-12-24T20:27:32.203Z] [INFO] Method: POST | URL: /api/products | Request Body: undefined
[2023-12-24T20:27:32.297Z] [INFO] Method: POST | URL: /api/products | Request Body: undefined
[2023-12-24T20:27:32.297Z] [INFO] Method: POST | URL: /api/products | Request Body: undefined
[2023-12-24T20:27:32.331Z] [INFO] Method: POST | URL: /api/products | Request Body: undefined
[2023-12-24T20:27:32.329Z] [INFO] Method: POST | URL: /api/products | Request Body: undefined
[2023-12-24T20:27:32.357Z] [INFO] Method: POST | URL: /api/products | Request Body: undefined
